episode,reward_agent_0,red_coins,blue_coins
553,21.0,10,11
554,14.0,7,7
555,10.0,3,7
556,11.0,2,9
557,13.0,10,3
558,11.0,6,5
559,14.0,7,7
560,18.0,10,8
561,15.0,6,9
562,21.0,13,8
563,19.0,8,11
564,11.0,4,7
565,20.0,10,10
566,11.0,6,5
567,15.0,7,8
568,12.0,7,5
569,19.0,9,10
570,26.0,16,10
571,20.0,10,10
572,18.0,11,7
573,14.0,5,9
574,21.0,10,11
575,13.0,5,8
576,14.0,4,10
577,17.0,11,6
578,15.0,6,9
579,25.0,13,12
580,19.0,10,9
581,21.0,9,12
582,16.0,6,10
583,16.0,8,8
584,12.0,5,7
585,16.0,7,9
586,19.0,9,10
587,14.0,6,8
588,17.0,10,7
589,12.0,4,8
590,15.0,11,4
591,14.0,6,8
592,12.0,4,8
593,16.0,8,8
594,12.0,7,5
595,14.0,6,8
596,19.0,9,10
597,14.0,9,5
598,19.0,10,9
599,18.0,8,10
600,12.0,7,5
601,16.0,9,7
602,21.0,11,10
603,17.0,5,12
604,13.0,7,6
605,20.0,9,11
606,10.0,3,7
607,19.0,12,7
608,14.0,6,8
609,14.0,3,11
610,16.0,9,7
611,18.0,12,6
612,16.0,10,6
613,16.0,8,8
614,18.0,10,8
615,17.0,7,10
616,23.0,10,13
617,16.0,13,3
618,15.0,9,6
619,24.0,15,9
620,21.0,13,8
621,13.0,8,5
622,10.0,5,5
623,19.0,7,12
624,13.0,5,8
625,16.0,10,6
626,17.0,7,10
627,16.0,5,11
628,14.0,9,5
629,15.0,5,10
630,14.0,7,7
631,13.0,7,6
632,24.0,16,8
633,10.0,2,8
634,15.0,8,7
635,16.0,7,9
636,13.0,10,3
637,19.0,9,10
638,11.0,9,2
639,12.0,7,5
640,15.0,6,9
641,19.0,8,11
642,14.0,7,7
643,16.0,9,7
644,14.0,7,7
645,14.0,6,8
646,26.0,12,14
647,12.0,5,7
648,11.0,6,5
649,15.0,9,6
650,21.0,12,9
651,19.0,10,9
652,13.0,8,5
653,13.0,6,7
654,26.0,12,14
655,19.0,10,9
656,22.0,11,11
657,29.0,12,17
658,18.0,8,10
659,12.0,6,6
660,13.0,4,9
661,16.0,6,10
662,17.0,7,10
663,22.0,9,13
664,13.0,7,6
665,13.0,6,7
666,16.0,9,7
667,19.0,9,10
668,14.0,5,9
669,21.0,13,8
670,17.0,9,8
