episode,reward_agent_0,reward_agent_1,a0_red_coins,a0_blue_coins,a1_red_coins,a1_blue_coins
296,3.0,12.0,11,8,10,22
297,11.0,8.0,20,9,7,15
298,8.0,8.0,21,13,7,15
299,0.0,10.0,14,14,7,17
300,4.0,-5.0,15,11,17,12
301,12.0,17.0,20,8,7,24
302,11.0,10.0,22,11,6,16
303,12.0,10.0,21,9,8,18
304,6.0,14.0,23,17,4,18
305,13.0,14.0,19,6,7,21
306,10.0,7.0,17,7,6,13
307,11.0,7.0,20,9,5,12
308,6.0,-5.0,15,9,18,13
309,9.0,11.0,16,7,5,16
310,5.0,15.0,15,10,7,22
311,20.0,6.0,26,6,10,16
312,11.0,9.0,17,6,7,16
313,11.0,8.0,17,6,11,19
314,0.0,19.0,16,16,7,26
315,7.0,13.0,15,8,6,19
316,10.0,1.0,11,1,7,8
317,5.0,6.0,17,12,12,18
318,13.0,16.0,20,7,5,21
319,9.0,12.0,20,11,6,18
320,7.0,13.0,16,9,6,19
321,10.0,0.0,16,6,13,13
322,9.0,6.0,19,10,10,16
323,1.0,8.0,15,14,8,16
324,14.0,14.0,23,9,12,26
325,12.0,9.0,18,6,10,19
326,17.0,12.0,24,7,11,23
327,10.0,14.0,20,10,9,23
328,13.0,14.0,21,8,2,16
329,5.0,27.0,11,6,6,33
330,3.0,8.0,14,11,13,21
331,10.0,5.0,17,7,8,13
332,9.0,10.0,14,5,6,16
333,22.0,16.0,27,5,5,21
334,11.0,5.0,20,9,7,12
335,10.0,1.0,20,10,14,15
336,11.0,20.0,15,4,5,25
337,16.0,10.0,24,8,9,19
338,12.0,15.0,21,9,7,22
339,12.0,12.0,20,8,5,17
340,13.0,8.0,22,9,12,20
341,6.0,16.0,18,12,3,19
342,6.0,17.0,11,5,4,21
343,17.0,9.0,24,7,10,19
344,12.0,16.0,25,13,8,24
345,21.0,17.0,25,4,1,18
346,16.0,10.0,21,5,8,18
347,6.0,5.0,18,12,11,16
348,11.0,12.0,23,12,7,19
349,10.0,7.0,19,9,6,13
350,5.0,7.0,15,10,10,17
351,14.0,10.0,22,8,6,16
352,19.0,5.0,25,6,14,19
353,7.0,15.0,14,7,5,20
354,3.0,7.0,16,13,14,21
